,Rank,Song,Artist,Album,Release Date,Popularity,Duration (ms),Explicit,Track ID,Preview URL,Track Number,Continent,Country,Artist Photo URL
344,45,RA TA TA,Mahmood,NEI LETTI DEGLI ALTRI,2024-03-07,64,152383,False,7Isi6whc5DD6A5wH5nqyUw,,1,Europe,Italy,https://i.scdn.co/image/ab6761610000f178762a6b81abbd0953b1b44c4b
345,46,ALTROVE,Ultimo,ALTROVE,2024-05-17,66,205354,False,1A1xTBtNnJ09JNINiLjdOK,https://p.scdn.co/mp3-preview/ef3bdb46c6e2d918f35d118b0182b0479aba6bfc?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Italy,https://i.scdn.co/image/ab6761610000f178314f49cce61a62a207f9a9da
346,47,GHETTO (feat. Baby Gang),Simba La Rue,ESCI DAL TUNNEL,2024-10-18,64,151926,True,7drdP9n1QfwYFlAjMbix5i,https://p.scdn.co/mp3-preview/fc6d328637b5900a74ad4d678dde79b8f827acf6?cid=0bb3eb6005f44507983d0b4982473814,6,Europe,Italy,https://i.scdn.co/image/ab6761610000f17809094dfccb6bcb4a6717a044
347,48,PELIGROSA,FloyyMenor,EL COMIENZO,2024-08-09,84,134930,True,42wdz3j7gstgUuhoFLCXqd,https://p.scdn.co/mp3-preview/9ffac5472944bbea0f929e2c5f2b71c7560116cb?cid=0bb3eb6005f44507983d0b4982473814,5,Europe,Italy,https://i.scdn.co/image/ab6761610000f178a410f779bd969d6d1e4815a2
348,49,Baby Mama,Don Pero,Baby Mama,2022-10-27,69,151160,True,4Y60H8heDsEpQ2hin2g6V5,https://p.scdn.co/mp3-preview/ce42076e35f82e620ee1d105d8fcf5c1da90f438?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Italy,https://i.scdn.co/image/ab6761610000f1780fefb730895738d5c3bcde80
349,50,40 GRADI,Simba La Rue,ESCI DAL TUNNEL,2024-10-18,55,162406,True,0Okgqls9nKLzgnQGL9HGVL,https://p.scdn.co/mp3-preview/a6b9b0e88437c3731789522d92b439212342173a?cid=0bb3eb6005f44507983d0b4982473814,10,Europe,Italy,https://i.scdn.co/image/ab6761610000f17809094dfccb6bcb4a6717a044
350,1,DEGENERE 👑 (feat. benny blanco),Myke Towers,LA PANTERA NEGRA (DELUXE),2024-10-17,75,130880,True,0qeIFEGRQqHoaJtLCl0U73,https://p.scdn.co/mp3-preview/d23d04bb3e02687f0ae82c502f4b8570e1ad944b?cid=0bb3eb6005f44507983d0b4982473814,3,Europe,Spain,https://i.scdn.co/image/ab6761610000f1788372345609bebaf1e948ef7f
351,2,IA,Clarent,IA,2024-10-17,74,171428,True,7lcbpfihslisNObKdHjyLo,https://p.scdn.co/mp3-preview/0b02b4d5afd85f7a079e58eef01183d43ff90e64?cid=0bb3eb6005f44507983d0b4982473814,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f178821e4eec4f0df126301b3a3b
352,3,Q U E V A S H A C E R H O Y ?,Omar Courtz,PRIMERA MUSA,2024-09-20,89,224022,True,0Sr7ssScx54yxdM2ols7nW,https://p.scdn.co/mp3-preview/6108826ceba143d45da7ca982dd8b067427d9a14?cid=0bb3eb6005f44507983d0b4982473814,15,Europe,Spain,https://i.scdn.co/image/ab6761610000f178461144511a619789aea8f69a
353,4,Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,2024-06-21,94,195824,False,6WatFBLVB0x077xWeoVc2k,,1,Europe,Spain,https://i.scdn.co/image/ab6761610000f1784b0754aefc9db490e02205ec
